time,temperature_c,solar_radiation_w_m2,wind_speed_kmh
2025-08-10 00:00:00,19.5,0.0,2.3
2025-08-10 01:00:00,18.6,0.0,2.8
2025-08-10 02:00:00,17.9,0.0,2.7
2025-08-10 03:00:00,17.5,0.0,1.8
2025-08-10 04:00:00,17.1,0.0,0.7
2025-08-10 05:00:00,16.8,0.0,0.6
2025-08-10 06:00:00,17.0,7.0,1.4
2025-08-10 07:00:00,19.2,91.0,2.7
2025-08-10 08:00:00,20.6,248.0,1.0
2025-08-10 09:00:00,23.4,420.0,1.4
2025-08-10 10:00:00,25.5,576.0,2.5
2025-08-10 11:00:00,27.1,695.0,3.1
2025-08-10 12:00:00,28.5,763.0,3.4
2025-08-10 13:00:00,29.6,776.0,3.9
2025-08-10 14:00:00,30.4,733.0,5.8
2025-08-10 15:00:00,30.7,639.0,8.2
2025-08-10 16:00:00,30.5,502.0,9.8
2025-08-10 17:00:00,30.0,336.0,10.4
2025-08-10 18:00:00,29.0,165.0,10.2
2025-08-10 19:00:00,27.2,35.0,10.9
2025-08-10 20:00:00,24.8,0.0,6.4
2025-08-10 21:00:00,23.1,0.0,5.1
2025-08-10 22:00:00,22.5,0.0,5.9
2025-08-10 23:00:00,21.5,0.0,5.7
2025-08-11 00:00:00,20.5,0.0,5.7
2025-08-11 01:00:00,20.4,0.0,6.9
2025-08-11 02:00:00,19.8,0.0,7.0
2025-08-11 03:00:00,19.4,0.0,6.8
2025-08-11 04:00:00,19.3,0.0,6.9
2025-08-11 05:00:00,19.3,0.0,6.3
2025-08-11 06:00:00,20.1,1.0,6.6
2025-08-11 07:00:00,21.4,10.0,8.0
2025-08-11 08:00:00,22.5,30.0,5.5
2025-08-11 09:00:00,24.6,136.0,5.9
2025-08-11 10:00:00,26.7,388.0,6.9
2025-08-11 11:00:00,28.2,562.0,7.4
2025-08-11 12:00:00,29.5,599.0,7.4
2025-08-11 13:00:00,30.6,589.0,8.0
2025-08-11 14:00:00,31.5,504.0,7.4
2025-08-11 15:00:00,32.0,394.0,8.5
2025-08-11 16:00:00,31.6,289.0,12.9
2025-08-11 17:00:00,31.2,178.0,9.1
2025-08-11 18:00:00,30.5,72.0,9.0
2025-08-11 19:00:00,28.5,29.0,8.2
2025-08-11 20:00:00,26.8,0.0,11.4
2025-08-11 21:00:00,25.6,0.0,12.1
2025-08-11 22:00:00,25.0,0.0,11.9
2025-08-11 23:00:00,24.4,0.0,11.5
2025-08-12 00:00:00,23.8,0.0,9.0
2025-08-12 01:00:00,23.3,0.0,8.0
2025-08-12 02:00:00,22.9,0.0,6.8
2025-08-12 03:00:00,22.5,0.0,5.6
2025-08-12 04:00:00,22.1,0.0,4.8
2025-08-12 05:00:00,21.7,0.0,3.9
2025-08-12 06:00:00,22.0,4.0,4.8
2025-08-12 07:00:00,23.4,66.0,6.6
2025-08-12 08:00:00,25.2,136.0,4.6
2025-08-12 09:00:00,27.0,214.0,6.9
